run,metric,iteration,value
terminal_ppo,terminal_reward,257,-30.573598861694336
terminal_ppo,terminal_reward,258,-30.573598861694336
terminal_ppo,terminal_reward,259,-30.573598861694336
terminal_ppo,terminal_reward,260,-30.573598861694336
terminal_ppo,terminal_reward,261,-30.573598861694336
terminal_ppo,terminal_reward,262,-30.573598861694336
terminal_ppo,terminal_reward,263,-30.573598861694336
terminal_ppo,terminal_reward,264,-30.573598861694336
terminal_ppo,terminal_reward,265,-30.573598861694336
terminal_ppo,terminal_reward,266,-30.573598861694336
terminal_ppo,terminal_reward,267,-30.573598861694336
terminal_ppo,terminal_reward,268,-30.573598861694336
terminal_ppo,terminal_reward,269,-30.573598861694336
terminal_ppo,terminal_reward,270,-30.573598861694336
terminal_ppo,terminal_reward,271,-30.573598861694336
terminal_ppo,terminal_reward,272,-30.573598861694336
terminal_ppo,terminal_reward,273,-30.573598861694336
terminal_ppo,terminal_reward,274,-30.573598861694336
terminal_ppo,terminal_reward,275,-30.573598861694336
terminal_ppo,terminal_reward,276,-30.573598861694336
terminal_ppo,terminal_reward,277,-30.573598861694336
terminal_ppo,terminal_reward,278,-30.573598861694336
terminal_ppo,terminal_reward,279,-30.573598861694336
terminal_ppo,terminal_reward,280,-30.573598861694336
terminal_ppo,terminal_reward,281,-30.573598861694336
terminal_ppo,terminal_reward,282,-30.573598861694336
terminal_ppo,terminal_reward,283,-30.573598861694336
terminal_ppo,terminal_reward,284,-30.573598861694336
terminal_ppo,terminal_reward,285,-30.573598861694336
terminal_ppo,terminal_reward,286,-30.573598861694336
terminal_ppo,terminal_reward,287,-30.573598861694336
terminal_ppo,terminal_reward,288,-30.573598861694336
terminal_ppo,terminal_reward,289,-30.573598861694336
terminal_ppo,terminal_reward,290,-30.573598861694336
terminal_ppo,terminal_reward,291,-30.573598861694336
terminal_ppo,terminal_reward,292,-30.573598861694336
terminal_ppo,terminal_reward,293,-30.573598861694336
terminal_ppo,terminal_reward,294,-30.573598861694336
terminal_ppo,terminal_reward,295,-30.573598861694336
terminal_ppo,terminal_reward,296,-30.573598861694336
