step,contact,physical_contact,moving,spin,geometry_contact_possible,sensor_raw_force,virtual_force,raw_force,filtered_force,pad_compression,z_offset,normal_tilt,path,pause,stable_steps,actual_clearance
405,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.06049999999999944,17.48818502239992,0.0,0,0,0.020711125447946066
420,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.0589999999999994,17.48818502239992,0.0,0,0,0.019229363579624566
435,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.05749999999999936,17.48818502239992,0.0,0,0,0.017738844841261776
450,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.055999999999999314,17.48818502239992,0.0,0,0,0.01624543736234652
465,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.05449999999999927,17.48818502239992,0.0,0,0,0.014750235893110395
480,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.05299999999999923,17.48818502239992,0.0,0,0,0.013255226047574233
495,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.051499999999999185,17.48818502239992,0.0,0,0,0.011759754546847207
510,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.04999999999999914,17.48818502239992,0.0,0,0,0.010264368867539701
525,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.0484999999999991,17.48818502239992,0.0,0,0,0.008769554822105239
540,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.046999999999999056,17.48818502239992,0.0,0,0,0.0072732631802335836
555,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.04549999999999901,17.48818502239992,0.0,0,0,0.00577798318805443
570,0,0,0,1,1,0.0,0.48600000000051247,0.48600000000051247,0.44512186420861666,0.000900000000001025,0.04399999999999897,17.48818502239992,0.0,0,0,0.0042826375016954505
585,1,0,1,1,1,0.0,1.201676652569506,1.201676652569506,1.170932658487191,0.0023497959312143643,0.042583591554441635,17.45150216397405,0.21666666666666665,0,14,0.0028064948478558134
600,1,1,1,1,1,4.111648082733154,1.2022122738694765,1.2022122738694765,1.1740121227470264,0.0023517589042909015,0.04258207114992033,16.077206910248826,0.4666666666666666,0,29,0.0017038232456044872
615,1,1,1,1,1,7.893371105194092,1.4412205673753984,1.4412205673753984,1.435160050708335,0.002871904959596043,0.042114961802246435,17.105280445831028,0.7166666666666672,0,44,0.0007570588640738841
630,1,1,1,1,1,7.018960952758789,1.2655817926796804,1.2655817926796804,1.2494899745041086,0.0024914279816445895,0.04245738201299302,19.46384718352988,0.966666666666668,0,59,0.00011541388920502653
645,1,1,1,1,1,10.144451141357422,1.340257987448557,1.340257987448557,1.3471571695655773,0.0026516338755499455,0.0423348000109342,18.85649917005801,1.2166666666666672,0,74,0.0008615730516181837
660,1,1,1,1,1,10.477575302124023,1.4091310729257518,1.4091310729257518,1.4040153383643497,0.0028025741522532746,0.04226627850216162,17.89245517869755,1.4666666666666663,0,89,0.000725985828301131
675,1,1,1,1,1,10.682217597961426,1.1299253950802266,1.1299253950802266,1.1441906374802187,0.0021921759769098284,0.04284543160864918,16.89782208785439,1.7166666666666655,0,104,0.000684058239357679
690,1,1,1,1,1,10.150250434875488,0.8397323501248889,0.8397323501248889,0.8556645814930155,0.0016074647002497777,0.043322585386725315,16.463023157168035,1.9666666666666646,0,119,0.0008497640978812134
705,1,1,0,1,1,12.487553596496582,0.2429316413541543,0.2429316413541543,0.4165450765493521,0.0004138632827083086,0.044983647436591,15.85735197642243,2.1833333333333305,0,0,0.000963662635211845
720,1,1,1,1,1,9.720905303955078,0.1954168212552989,0.1954168212552989,0.15785187659755534,0.0003188336425105978,0.0445811663574894,15.419559982844808,2.3999999999999964,0,14,0.0019358920333703805
735,1,1,1,1,1,10.389760971069336,0.4846064460416939,0.4846064460416939,0.482440507229543,0.0008972128920833877,0.044080739302130474,15.149445761718797,2.6499999999999955,0,29,0.001437796919041567
750,1,1,1,1,1,10.256674766540527,0.5192626845976198,0.5192626845976198,0.5132543758401307,0.0009665253691952397,0.04398480958411286,16.21771327222613,2.8999999999999946,0,44,0.0015247684739700769
