region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,overall_pass,failure_reason,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed
R1,bonnet,24,2.500,0.480,1.040,-0.1000,0.0000,0.9950,7.453,5436,3.014,0.1840,2,+0.988,-0.986,0.3267,0.2873,1.6514,0.3198,0.2079,0.2257,2.0002,1.6192,46.21,3.3123,42.90,40.52,51.93,68.12,False,False,True,True,True,False,gu_below_target(68.1<70);ra_above_target(0.226>0.20),5.7,False,flat_trained_bc_policy_inference,7125,477.7,True
R2,roof,0,-0.080,-0.440,1.450,0.0000,0.0000,1.0000,7.429,5436,3.058,0.1840,2,+0.975,-0.972,0.3952,0.3350,1.6573,0.5708,0.2505,0.2707,2.1863,1.8537,40.24,3.2523,36.99,35.20,54.69,56.93,False,False,True,True,True,False,gu_below_target(56.9<70);ra_above_target(0.271>0.20),0.0,False,flat_trained_bc_policy_inference,7202,470.9,True
R2,roof,1,-0.080,-0.220,1.450,0.0000,0.0000,1.0000,7.238,5436,3.420,0.1840,2,+0.867,-0.850,0.1904,0.2729,0.7542,0.1955,0.1350,0.2221,1.2128,1.3183,46.72,2.8366,43.88,40.99,52.08,68.90,False,False,True,True,True,False,gu_below_target(68.9<70);ra_above_target(0.222>0.20),0.0,False,flat_trained_bc_policy_inference,7203,421.0,True
R2,roof,2,-0.080,0.000,1.450,0.0000,0.0000,1.0000,7.211,5436,3.480,0.1840,2,+0.852,-0.830,0.1112,0.1977,0.5081,0.0336,0.0813,0.1497,0.8422,0.9150,40.13,2.7804,37.35,34.19,54.45,57.56,False,True,True,True,False,False,gu_below_target(57.6<70);clearcoat_below_safe(34.2<35),0.0,False,flat_trained_bc_policy_inference,7204,413.8,True
R2,roof,3,-0.080,0.220,1.450,0.0000,0.0000,1.0000,7.354,5436,3.203,0.1840,2,+0.933,-0.923,0.2379,0.2511,1.0568,0.1610,0.1678,0.2013,1.6114,1.3303,46.01,3.0765,42.93,39.49,57.28,69.05,False,False,True,True,True,False,gu_below_target(69.0<70);ra_above_target(0.201>0.20),0.0,False,flat_trained_bc_policy_inference,7205,449.6,True
R2,roof,4,-0.080,0.440,1.450,0.0000,0.0000,1.0000,7.427,5436,3.062,0.1840,2,+0.974,-0.970,0.3079,0.2946,1.7232,0.4057,0.1869,0.2356,2.0216,1.6555,49.18,3.2484,45.93,42.52,56.95,69.58,False,False,True,True,True,False,gu_below_target(69.6<70);ra_above_target(0.236>0.20),0.0,False,flat_trained_bc_policy_inference,7206,470.3,True
R2,roof,5,0.160,-0.440,1.450,0.0000,0.0000,1.0000,7.425,5436,3.068,0.1840,2,+0.973,-0.968,0.3139,0.2910,1.7250,0.5595,0.2004,0.2339,2.0139,1.5914,47.88,3.2429,44.64,43.72,52.16,68.88,False,False,True,True,True,False,gu_below_target(68.9<70);ra_above_target(0.234>0.20),0.0,False,flat_trained_bc_policy_inference,7207,469.4,True
R2,roof,6,0.160,-0.220,1.450,0.0000,0.0000,1.0000,7.432,5436,3.057,0.1840,2,+0.976,-0.972,0.2060,0.2745,1.2281,0.1978,0.1315,0.2199,1.5528,1.4054,45.46,3.2559,42.20,37.93,57.61,68.31,False,False,True,True,True,False,gu_below_target(68.3<70);ra_above_target(0.220>0.20),0.0,False,flat_trained_bc_policy_inference,7208,471.0,True
R2,roof,7,0.160,0.000,1.450,0.0000,0.0000,1.0000,7.320,5436,3.298,0.1840,2,+0.906,-0.891,0.1614,0.2377,0.7557,0.0578,0.1155,0.1822,1.1015,1.1005,45.99,2.9729,43.02,39.66,60.72,69.79,False,True,True,True,True,False,gu_below_target(69.8<70),0.0,False,flat_trained_bc_policy_inference,7209,436.6,True
R2,roof,8,0.160,0.220,1.450,0.0000,0.0000,1.0000,7.261,5436,3.407,0.1840,2,+0.872,-0.854,0.1430,0.2322,0.6192,0.0589,0.1022,0.1837,0.8530,1.1483,46.16,2.8492,43.31,41.02,59.20,70.49,True,True,True,True,True,True,,0.0,False,flat_trained_bc_policy_inference,7210,422.7,True
