region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,warranty_removal_ok,scratch_improved,clearcoat_safe,overall_pass,failure_reason,disposition,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R2,roof,14,0.400,0.440,1.450,0.0000,0.0000,1.0000,8.416,3259,4.545,0.2700,2,+0.971,-0.391,0.1628,0.1388,0.3321,0.0960,0.1285,0.1002,0.9610,0.9019,41.68,1.0280,40.65,39.88,70.62,72.79,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7216,211.3,True,0
R2,roof,15,0.640,-0.440,1.450,0.0000,0.0000,1.0000,8.421,3259,4.447,0.2700,2,+0.977,-0.426,0.1288,0.1056,0.2332,0.0539,0.1011,0.0848,0.7287,0.5421,47.19,1.0514,46.14,45.65,61.63,73.66,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7217,215.9,True,0
R2,roof,16,0.640,-0.220,1.450,0.0000,0.0000,1.0000,8.421,3259,4.448,0.2700,2,+0.978,-0.426,0.1691,0.1255,0.2069,0.0909,0.1339,0.0999,1.0522,0.6493,47.39,1.0514,46.34,42.90,67.22,73.49,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7218,215.9,True,0
R2,roof,17,0.640,0.000,1.450,0.0000,0.0000,1.0000,8.416,3259,4.523,0.2700,2,+0.971,-0.399,0.1541,0.1123,0.3448,0.1852,0.1202,0.0891,0.9264,0.6342,41.61,1.0348,40.58,36.92,67.62,71.46,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7219,212.3,True,0
R2,roof,18,0.640,0.220,1.450,0.0000,0.0000,1.0000,8.419,3259,4.480,0.2700,2,+0.972,-0.414,0.1554,0.1203,0.2530,0.0377,0.1249,0.0945,0.8242,0.6710,44.99,1.0436,43.95,41.60,61.91,72.70,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7220,214.4,True,0
R2,roof,19,0.640,0.440,1.450,0.0000,0.0000,1.0000,8.419,3259,4.511,0.2700,2,+0.972,-0.403,0.1555,0.1225,0.2108,0.0482,0.1227,0.0935,0.9394,0.6286,43.56,1.0362,42.52,39.56,62.80,72.74,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7221,212.9,True,0
R2,roof,20,0.880,-0.440,1.450,0.0000,0.0000,1.0000,8.423,3259,4.388,0.2700,2,+0.978,-0.447,0.1751,0.1337,0.5735,0.2351,0.1356,0.1046,1.1447,0.9209,47.72,1.0660,46.65,44.90,58.88,72.34,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7222,218.8,True,0
R2,roof,21,0.880,-0.220,1.450,0.0000,0.0000,1.0000,8.421,3259,4.446,0.2700,2,+0.977,-0.426,0.1500,0.1102,0.2751,0.0904,0.1192,0.0855,0.8471,0.6204,48.95,1.0521,47.90,44.52,72.91,74.19,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7223,216.0,True,0
R2,roof,22,0.880,0.000,1.450,0.0000,0.0000,1.0000,8.421,3259,4.462,0.2700,2,+0.973,-0.421,0.1619,0.1377,0.4596,0.1314,0.1271,0.1064,0.9732,0.8586,44.16,1.0477,43.11,40.01,69.53,73.02,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7224,215.2,True,0
R2,roof,23,0.880,0.220,1.450,0.0000,0.0000,1.0000,8.420,3259,4.478,0.2700,2,+0.976,-0.415,0.1432,0.1363,0.3056,0.0937,0.1151,0.1091,0.8028,0.6779,45.88,1.0438,44.84,41.48,73.00,73.99,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7225,214.4,True,0
R2,roof,24,0.880,0.440,1.450,0.0000,0.0000,1.0000,8.421,3259,4.453,0.2700,2,+0.974,-0.424,0.1498,0.1309,0.2961,0.0708,0.1201,0.1042,0.8383,0.6787,45.32,1.0500,44.27,43.79,71.94,74.29,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7226,215.6,True,0
R3,door_left,0,0.020,0.850,0.595,0.0000,1.0000,0.0000,3.482,4648,3.488,0.2620,3,-0.231,-0.989,0.1419,0.1248,0.1335,0.0176,0.1109,0.0986,0.7979,0.7016,49.76,1.1738,48.59,46.11,74.08,74.72,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7303,412.9,True,0
R3,door_left,1,0.020,0.850,0.685,0.0000,1.0000,0.0000,3.482,4648,3.487,0.2620,3,-0.336,-0.989,0.1280,0.1277,0.2562,0.0428,0.1007,0.1001,0.7735,0.7263,48.65,1.1743,47.48,45.33,69.61,74.36,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7304,413.1,True,0
R3,door_left,2,0.020,0.850,0.775,0.0000,1.0000,0.0000,3.475,4648,4.952,0.2620,3,-0.874,-0.565,0.1479,0.1010,0.2882,0.0928,0.1163,0.0826,0.8284,0.5334,42.95,0.8260,42.12,39.17,63.57,72.74,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7305,290.9,True,0
R3,door_left,3,0.020,0.850,0.865,0.0000,1.0000,0.0000,3.482,4648,3.490,0.2620,3,-0.319,-0.989,0.1362,0.1279,0.1775,0.0412,0.1091,0.0994,0.7540,0.7697,49.46,1.1733,48.29,45.02,55.95,73.43,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7306,412.7,True,0
R3,door_left,4,0.020,0.850,0.955,0.0000,1.0000,0.0000,3.451,4648,9.610,0.2620,9,-0.996,+0.785,0.1826,0.1198,0.6564,0.2360,0.1425,0.0953,1.1468,0.6778,40.25,1.2622,38.99,35.53,62.64,68.53,False,True,True,True,True,True,False,gu_below_target(68.5<70),spot_repaint_review,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7307,449.6,True,2
