region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,warranty_removal_ok,scratch_improved,clearcoat_safe,overall_pass,failure_reason,disposition,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R2,roof,2,-0.080,0.000,1.450,0.0000,0.0000,1.0000,8.414,3259,4.207,0.2700,2,+0.968,-0.511,0.1112,0.1117,0.5081,0.1792,0.0813,0.0863,0.8422,0.6635,40.13,1.1164,39.01,35.18,54.45,68.22,False,True,True,True,True,True,False,gu_below_target(68.2<70);clearcoat_budget_exhausted,spot_repaint_review,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7204,228.3,True,0
R2,roof,3,-0.080,0.220,1.450,0.0000,0.0000,1.0000,8.421,3259,4.355,0.2700,4,+0.973,-0.458,0.2379,0.2022,1.0568,0.2153,0.1678,0.1581,1.6114,1.0994,46.01,2.1510,43.86,40.18,57.28,70.50,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7205,440.9,True,1
R2,roof,4,-0.080,0.440,1.450,0.0000,0.0000,1.0000,8.427,3259,4.187,0.2700,4,+0.981,-0.518,0.3079,0.2422,1.7232,0.5882,0.1869,0.1897,2.0216,1.6140,49.18,2.2384,46.94,43.83,56.95,70.64,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7206,458.5,True,1
R2,roof,5,0.160,-0.440,1.450,0.0000,0.0000,1.0000,8.423,3259,4.347,0.2700,6,+0.978,-0.461,0.3139,0.2625,1.7250,0.3605,0.2004,0.2001,2.0139,1.4366,47.88,3.2329,44.65,44.01,52.16,69.55,False,False,True,True,True,True,False,gu_below_target(69.5<70);ra_above_target(0.200>0.20),rework_candidate,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7207,662.5,True,2
R2,roof,6,0.160,-0.220,1.450,0.0000,0.0000,1.0000,8.427,3259,4.182,0.2700,2,+0.977,-0.520,0.2060,0.1609,1.2281,0.7893,0.1315,0.1242,1.5528,1.2591,45.46,1.1213,44.34,40.35,57.61,70.29,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7208,229.6,True,0
R2,roof,7,0.160,0.000,1.450,0.0000,0.0000,1.0000,8.423,3259,4.354,0.2700,2,+0.974,-0.459,0.1614,0.1196,0.7557,0.3183,0.1155,0.0928,1.1015,0.8035,45.99,1.0748,44.92,42.05,60.72,72.30,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7209,220.6,True,0
R2,roof,8,0.160,0.220,1.450,0.0000,0.0000,1.0000,8.423,3259,4.359,0.2700,2,+0.975,-0.457,0.1430,0.1332,0.6192,0.1797,0.1022,0.1059,0.8530,0.7738,46.16,1.0732,45.09,42.71,59.20,72.42,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7210,220.3,True,0
R2,roof,9,0.160,0.440,1.450,0.0000,0.0000,1.0000,8.432,3259,3.818,0.2700,4,+0.975,-0.649,0.2754,0.2729,1.5031,0.6208,0.1565,0.2177,1.8328,1.6173,40.68,2.4599,38.22,35.56,59.31,64.28,False,False,True,True,True,True,False,gu_below_target(64.3<70);ra_above_target(0.218>0.20),spot_repaint_review,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7211,503.0,True,1
R2,roof,10,0.400,-0.440,1.450,0.0000,0.0000,1.0000,8.418,3259,4.558,0.2700,6,+0.974,-0.387,0.3023,0.2050,1.7203,0.2594,0.1810,0.1503,1.9368,1.2209,46.28,3.0834,43.20,40.70,48.71,69.41,False,True,True,True,True,True,False,gu_below_target(69.4<70),rework_candidate,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7212,632.0,True,2
R2,roof,11,0.400,-0.220,1.450,0.0000,0.0000,1.0000,8.428,3259,4.076,0.2700,4,+0.976,-0.557,0.2984,0.2583,1.2550,0.3793,0.2117,0.2012,1.7795,1.3786,43.38,2.3047,41.08,36.87,53.18,67.33,False,False,True,True,True,True,False,gu_below_target(67.3<70);ra_above_target(0.201>0.20);clearcoat_budget_exhausted,spot_repaint_review,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7213,471.0,True,1
