region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,overall_pass,failure_reason,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R1,bonnet,24,2.500,0.480,1.040,-0.1000,0.0000,0.9950,6.894,5436,3.932,0.1840,4,+0.666,-0.677,0.3267,0.2942,1.6514,0.1595,0.2079,0.2212,2.0002,1.6185,46.21,4.6955,41.51,39.13,51.93,66.14,False,False,True,True,True,False,gu_below_target(66.1<70);ra_above_target(0.221>0.20),5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7125,732.3,True,1
R2,roof,0,-0.080,-0.440,1.450,0.0000,0.0000,1.0000,7.442,5436,5.368,0.1840,2,+0.993,-0.195,0.3952,0.2617,1.6573,1.0080,0.2505,0.1971,2.1863,1.7018,40.24,1.8584,38.38,36.93,54.69,62.84,False,True,True,True,True,False,gu_below_target(62.8<70);clearcoat_budget_exhausted,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7202,268.3,True,0
R2,roof,1,-0.080,-0.220,1.450,0.0000,0.0000,1.0000,7.442,5436,5.009,0.1840,2,+0.989,-0.315,0.1904,0.1638,0.7542,0.2280,0.1350,0.1319,1.2128,0.9123,46.72,1.9897,44.73,41.85,52.08,70.97,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7203,287.5,True,0
R2,roof,2,-0.080,0.000,1.450,0.0000,0.0000,1.0000,7.434,5436,4.690,0.1840,2,+0.982,-0.422,0.1112,0.1746,0.5081,0.0829,0.0813,0.1385,0.8422,0.9607,40.13,2.1226,38.01,34.60,54.45,61.98,False,True,True,True,False,False,gu_below_target(62.0<70);clearcoat_below_safe(34.6<35);clearcoat_budget_exhausted,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7204,307.1,True,0
R2,roof,3,-0.080,0.220,1.450,0.0000,0.0000,1.0000,7.444,5436,5.087,0.1840,2,+0.992,-0.289,0.2379,0.1981,1.0568,0.3645,0.1678,0.1594,1.6114,1.0761,46.01,1.9599,44.05,40.55,57.28,70.44,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7205,283.1,True,0
R2,roof,4,-0.080,0.440,1.450,0.0000,0.0000,1.0000,7.441,5436,5.339,0.1840,2,+0.992,-0.204,0.3079,0.2038,1.7232,0.7475,0.1869,0.1546,2.0216,1.5210,49.18,1.8678,47.31,44.08,56.95,70.07,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7206,269.8,True,0
R2,roof,5,0.160,-0.440,1.450,0.0000,0.0000,1.0000,6.897,5436,3.954,0.1840,4,+0.668,-0.670,0.3139,0.2777,1.7250,0.1173,0.2004,0.2089,2.0139,1.4738,47.88,4.6716,43.21,42.20,52.16,67.71,False,False,True,True,True,False,gu_below_target(67.7<70);ra_above_target(0.209>0.20),0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7207,728.3,True,1
R2,roof,6,0.160,-0.220,1.450,0.0000,0.0000,1.0000,7.444,5436,5.143,0.1840,2,+0.992,-0.270,0.2060,0.1759,1.2281,0.3846,0.1315,0.1396,1.5528,1.1257,45.46,1.9385,43.52,39.44,57.61,70.72,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7208,280.0,True,0
R2,roof,7,0.160,0.000,1.450,0.0000,0.0000,1.0000,7.444,5436,4.954,0.1840,2,+0.989,-0.334,0.1614,0.1597,0.7557,0.1254,0.1155,0.1257,1.1015,0.8047,45.99,2.0124,43.98,40.90,60.72,71.64,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7209,290.7,True,0
R2,roof,8,0.160,0.220,1.450,0.0000,0.0000,1.0000,7.443,5436,4.943,0.1840,2,+0.989,-0.337,0.1430,0.1754,0.6192,0.0744,0.1022,0.1399,0.8530,0.8954,46.16,2.0166,44.14,41.82,59.20,71.89,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7210,291.3,True,0
R2,roof,9,0.160,0.440,1.450,0.0000,0.0000,1.0000,7.444,5436,5.187,0.1840,2,+0.991,-0.255,0.2754,0.1955,1.5031,0.5932,0.1565,0.1478,1.8328,1.4159,40.68,1.9221,38.76,36.80,59.31,66.90,False,True,True,True,True,False,gu_below_target(66.9<70);clearcoat_budget_exhausted,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7211,277.7,True,0
R2,roof,10,0.400,-0.440,1.450,0.0000,0.0000,1.0000,6.891,5436,3.919,0.1840,4,+0.665,-0.682,0.3023,0.2836,1.7203,0.1234,0.1810,0.2084,1.9368,1.5268,46.28,4.7072,41.57,38.70,48.71,66.25,False,False,True,True,True,False,gu_below_target(66.2<70);ra_above_target(0.208>0.20),0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7212,734.7,True,1
R2,roof,11,0.400,-0.220,1.450,0.0000,0.0000,1.0000,6.867,5436,3.812,0.1840,4,+0.650,-0.718,0.2984,0.2835,1.2550,0.1285,0.2117,0.2125,1.7795,1.5103,43.38,4.8244,38.56,35.06,53.18,60.50,False,False,True,True,True,False,gu_below_target(60.5<70);ra_above_target(0.212>0.20),0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7213,755.3,True,1
R2,roof,12,0.400,0.000,1.450,0.0000,0.0000,1.0000,7.445,5436,4.843,0.1840,2,+0.990,-0.371,0.1549,0.1742,0.5784,0.1277,0.1167,0.1354,1.0044,1.0070,42.80,2.0592,40.74,36.82,53.87,68.96,False,True,True,True,True,False,gu_below_target(69.0<70);clearcoat_budget_exhausted,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7214,297.4,True,0
R2,roof,13,0.400,0.220,1.450,0.0000,0.0000,1.0000,7.444,5436,4.897,0.1840,2,+0.989,-0.353,0.1465,0.1637,0.5728,0.0974,0.1106,0.1325,0.9058,0.7793,45.55,2.0357,43.51,40.63,46.79,70.93,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7215,294.1,True,0
R2,roof,14,0.400,0.440,1.450,0.0000,0.0000,1.0000,7.443,5436,5.041,0.1840,2,+0.991,-0.304,0.1353,0.1703,1.0830,0.2466,0.0770,0.1342,1.2321,0.9395,46.60,1.9773,44.62,43.79,59.64,72.21,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7216,285.7,True,0
R2,roof,15,0.640,-0.440,1.450,0.0000,0.0000,1.0000,7.445,5436,4.997,0.1840,2,+0.991,-0.319,0.2026,0.1726,0.8603,0.2068,0.1399,0.1403,1.2119,0.9335,43.19,1.9952,41.19,40.58,52.55,70.00,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7217,288.2,True,0
R2,roof,16,0.640,-0.220,1.450,0.0000,0.0000,1.0000,7.441,5436,4.917,0.1840,2,+0.989,-0.346,0.1479,0.1676,0.5261,0.0909,0.1123,0.1362,0.9381,0.7859,46.63,2.0268,44.60,41.32,54.14,71.61,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7218,292.9,True,0
R2,roof,17,0.640,0.000,1.450,0.0000,0.0000,1.0000,7.445,5436,5.068,0.1840,2,+0.993,-0.295,0.2426,0.1945,0.9631,0.2093,0.1770,0.1569,1.4623,1.0872,45.58,1.9679,43.61,39.94,55.90,70.26,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7219,284.2,True,0
