cell_id,region,cx,cy,cz,nx,ny,nz,ux,uy,uz,vx,vy,vz
256,side_right,0.62611,0.66035,0.54041,0.92102,-0.13082,0.36689,0.12153,0.99141,0.04841,-0.37007,0.0,0.929
257,side_right,0.57268,0.64623,0.62232,0.79145,0.00833,0.61118,-0.00659,0.99997,-0.00509,-0.6112,0.0,0.79148
258,side_right,0.6572,0.74751,0.44587,0.99842,-0.04958,0.02634,0.04957,0.99877,0.00131,-0.02637,0.0,0.99965
259,side_right,0.64362,0.78018,0.53972,0.94831,-0.10791,0.29842,0.10293,0.99416,0.03239,-0.30017,0.0,0.95388
260,side_right,0.64828,0.8987,0.55359,0.94155,-0.02367,0.33603,0.02229,0.99972,0.00795,-0.33613,0.0,0.94182
261,side_right,0.60872,0.90828,0.61511,0.82212,6e-05,0.56932,-5e-05,1.0,-3e-05,-0.56932,-0.0,0.82212
262,side_right,0.64621,1.02262,0.55204,0.93764,0.06214,0.34202,-0.05838,0.99807,-0.02129,-0.34268,0.0,0.93945
263,side_right,0.52121,1.02098,0.66628,0.85726,0.16773,0.4868,-0.14585,0.98583,-0.08282,-0.49379,0.0,0.86958
264,side_right,0.46616,1.0194,0.73527,0.74012,0.28978,0.60684,-0.22408,0.95709,-0.18373,-0.63405,0.0,0.77329
265,side_right,0.64033,1.16707,0.44282,0.9938,0.11113,-0.00472,-0.11113,0.99381,0.00053,0.00475,0.0,0.99999
266,side_right,0.62471,1.14218,0.54165,0.88554,0.29398,0.35971,-0.27237,0.95581,-0.11064,-0.37634,0.0,0.92648
267,side_right,0.49108,1.14113,0.66563,0.78531,0.2292,0.57511,-0.18491,0.97338,-0.13542,-0.59084,0.0,0.80679
268,side_right,0.54865,1.27349,0.20613,0.94275,0.28085,-0.17984,-0.27588,0.95975,0.05262,0.18738,0.0,0.98229
269,side_right,0.61503,1.26665,0.29005,0.96857,0.19254,-0.15746,-0.19005,0.98129,0.0309,0.16046,0.0,0.98704
270,side_right,0.6149,1.25439,0.4341,0.92374,0.31238,0.22166,-0.30375,0.94996,-0.07289,-0.23334,0.0,0.9724
