cell_id,region,center_x_m,center_y_m,center_z_m,tilt_deg,is_side,quad_c3,quad_c5,fit_rms_mm,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_initial_um,clearcoat_min_um,temperature_peak_c,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,warranty_removal_ok,overall_pass,disposition,checkpoint
53,rear,-0.302,-1.440,0.311,104.8,True,+0.0607,-2.6991,5.97,success,1,69.24,72.33,0.1249,0.796,0.169,0.036,46.04,41.55,35.91,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
54,rear,-0.297,-1.441,0.419,78.3,True,-4.0829,+1.1771,12.97,success,1,64.76,72.82,0.1256,0.870,0.378,0.050,47.51,43.26,35.66,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
55,rear,-0.297,-1.425,0.492,55.1,True,+0.5067,-4.9968,12.92,fail_force_overload,0,65.17,72.13,0.1827,1.000,0.373,0.224,48.66,43.88,34.68,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
56,rear,-0.179,-1.428,0.183,96.1,True,-0.2693,+6.2002,10.32,fail_force_overload,0,56.80,59.04,0.1355,1.187,0.624,0.624,43.20,39.76,34.84,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt
57,rear,-0.180,-1.473,0.315,103.2,True,+0.2250,-8.4669,13.45,fail_force_overload,0,66.17,70.56,0.1459,1.023,0.470,0.275,43.39,40.75,34.56,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
58,rear,-0.177,-1.426,0.417,88.1,True,+1.1161,+14.2424,26.69,fail_force_overload,0,60.26,60.27,0.1331,1.021,0.385,0.385,43.39,39.75,25.54,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
59,rear,-0.179,-1.456,0.497,62.1,True,+0.6340,-18.2456,17.81,fail_force_overload,0,61.16,61.15,0.1263,0.861,0.207,0.207,46.56,44.40,24.28,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt
60,rear,-0.063,-1.440,0.181,98.1,True,-0.4518,+6.6984,10.71,fail_force_overload,0,65.98,67.38,0.1289,0.948,0.495,0.495,46.58,45.93,34.72,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt
61,rear,-0.061,-1.487,0.313,103.7,True,+0.7300,-6.6877,12.61,fail_force_overload,0,73.98,73.46,0.1478,0.788,0.168,0.134,44.96,41.82,34.67,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
62,rear,-0.062,-1.447,0.417,86.7,True,+6.4268,+12.8594,30.08,fail_force_overload,0,71.58,71.59,0.1166,0.827,0.104,0.104,48.92,45.33,23.69,True,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt
