cell_id,region,center_x_m,center_y_m,center_z_m,tilt_deg,is_side,quad_c3,quad_c5,fit_rms_mm,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_initial_um,clearcoat_min_um,temperature_peak_c,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,warranty_removal_ok,overall_pass,disposition,checkpoint
66,rear,0.056,-1.452,0.417,86.2,True,+4.3323,+11.3989,28.17,fail_force_overload,0,70.32,70.36,0.1102,0.857,0.221,0.221,41.66,38.55,23.85,True,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
67,rear,0.061,-1.476,0.496,61.4,True,+1.4306,-8.1990,20.82,fail_force_overload,0,59.22,69.02,0.1621,1.168,0.768,0.524,40.45,37.84,32.51,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
68,rear,0.180,-1.427,0.183,95.9,True,-0.1943,+6.1718,10.28,fail_force_overload,0,67.03,71.33,0.1302,0.949,0.355,0.298,48.52,47.40,31.90,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
69,rear,0.180,-1.472,0.315,102.8,True,+0.1467,-8.5007,13.35,fail_force_overload,0,59.17,70.06,0.1710,1.018,0.508,0.250,41.09,37.44,32.51,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
70,rear,0.178,-1.426,0.417,88.1,True,+1.1648,+14.2074,26.87,fail_force_overload,0,65.56,65.57,0.1095,0.854,0.381,0.381,44.54,41.55,23.86,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
71,rear,0.180,-1.455,0.497,61.6,True,+0.5989,-17.6100,17.63,fail_force_overload,0,69.80,69.81,0.1330,1.032,0.508,0.508,49.31,46.61,23.50,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
72,rear,0.309,-1.403,0.188,88.8,True,-0.3971,+7.7016,11.46,fail_force_overload,0,68.88,68.51,0.1124,0.892,0.292,0.292,43.51,41.87,31.90,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
75,rear,0.297,-1.423,0.493,54.7,True,+0.5667,-4.9363,12.65,success,1,67.88,72.24,0.1575,1.029,0.354,0.072,45.61,42.85,32.67,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
76,rear,0.422,-1.372,0.157,97.2,True,-0.4928,-14.5118,8.47,fail_force_overload,0,64.80,64.82,0.1220,1.034,0.487,0.487,46.47,44.91,23.62,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
78,rear,0.423,-1.416,0.375,82.8,True,-0.5876,-7.3601,7.06,fail_force_overload,0,64.46,71.98,0.1613,0.997,0.416,0.310,46.93,45.67,32.58,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
79,rear,0.517,-1.322,0.178,90.7,True,-2.5878,-4.5102,11.65,fail_force_overload,0,63.37,71.77,0.1208,0.927,0.447,0.186,43.34,39.68,32.68,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
80,side_left,0.006,-1.475,0.413,89.5,True,-3.4634,+6.0154,34.23,fail_force_overload,0,70.14,71.04,0.1534,0.926,0.221,0.153,40.72,38.12,33.05,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
152,side_left,-0.445,0.537,0.883,46.3,True,-0.3451,-4.1834,2.00,fail_quality_regression,2,58.67,63.44,0.2315,1.556,0.312,0.028,42.52,35.73,32.71,False,False,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
160,side_left,-0.621,0.798,0.606,55.8,True,-0.6349,-4.7788,2.64,success,1,71.60,72.01,0.1649,1.037,0.126,0.024,45.80,40.85,32.61,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
162,side_left,-0.614,0.905,0.615,55.2,True,-0.4263,-5.6985,4.67,fail_force_overload,0,64.60,69.62,0.1026,0.706,0.575,0.325,40.43,36.16,32.59,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
164,side_left,-0.523,1.021,0.667,60.6,True,-0.7288,+5.7134,13.36,fail_force_overload,0,71.80,71.67,0.1289,0.987,0.550,0.550,47.01,43.59,32.79,True,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
168,side_left,-0.494,1.143,0.666,54.8,True,-0.3191,+2.9754,9.95,success,1,73.00,73.63,0.1666,1.053,0.144,0.016,48.67,46.18,32.77,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
179,side_right,-0.024,-1.473,0.414,87.0,True,-5.8946,+6.0944,37.49,fail_force_overload,0,68.14,68.14,0.1213,0.960,0.537,0.537,43.61,43.61,23.46,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
181,side_right,0.381,-1.369,0.389,85.5,True,-0.9918,-11.5669,50.32,fail_force_overload,0,67.60,68.46,0.1266,0.914,0.383,0.358,48.81,45.93,32.87,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
184,side_right,0.577,-1.257,0.390,75.5,True,-1.5047,-3.4218,4.12,fail_quality_regression,2,65.77,63.69,0.2299,1.629,0.490,0.033,42.60,36.82,32.74,False,False,True,True,True,True,False,rework_candidate,model_ppo_curved.pt|pad0.035_f0.7
185,side_right,0.537,-1.226,0.522,57.0,True,+0.1687,-5.1312,3.25,fail_force_overload,0,68.04,71.75,0.1589,0.888,0.230,0.090,48.13,44.91,32.65,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
191,side_right,0.638,-0.892,0.552,66.9,True,-0.8408,-4.2347,4.32,fail_force_overload,0,71.96,71.81,0.1606,0.943,0.411,0.262,40.80,37.46,32.65,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
197,side_right,0.617,-0.663,0.605,63.1,True,+0.1143,-7.3790,6.45,fail_force_overload,0,62.96,68.58,0.1401,0.809,0.162,0.090,45.53,41.63,32.63,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
202,side_right,0.621,-0.541,0.606,63.8,True,+0.1012,-7.3195,6.36,fail_force_overload,0,75.19,74.68,0.1482,0.852,0.408,0.215,45.90,43.83,32.62,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
207,side_right,0.626,-0.419,0.607,62.8,True,+0.0645,-6.7620,5.54,fail_force_overload,0,63.26,71.63,0.1605,0.900,0.144,0.048,47.99,46.75,32.62,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
212,side_right,0.630,-0.304,0.607,62.2,True,-0.1466,-7.2519,5.41,fail_force_overload,0,68.63,70.19,0.1768,0.940,0.339,0.299,49.31,46.42,32.60,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
217,side_right,0.580,-0.164,0.641,55.2,True,-0.0230,-1.4157,5.98,success,1,64.68,72.90,0.1556,0.966,0.469,0.081,48.14,45.47,32.80,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
222,side_right,0.559,-0.082,0.670,51.7,True,-0.8796,+2.2543,7.94,success,1,69.65,71.39,0.1602,1.053,0.542,0.138,42.73,39.17,32.75,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
234,side_right,0.468,0.176,0.857,47.5,True,-1.0205,-4.4632,2.25,fail_force_overload,0,71.99,73.46,0.1369,0.956,0.419,0.177,44.75,40.87,32.64,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
240,side_right,0.458,0.305,0.876,48.8,True,-0.2713,-5.2263,2.11,fail_force_overload,0,71.55,68.95,0.1516,0.979,0.167,0.088,40.59,37.59,32.62,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
246,side_right,0.445,0.423,0.887,48.4,True,-0.1908,-4.8675,2.57,fail_force_overload,0,64.27,72.41,0.1425,0.811,0.259,0.107,45.43,42.64,32.64,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
252,side_right,0.445,0.534,0.881,47.7,True,-0.3177,-4.5811,2.54,success,1,73.26,71.07,0.1653,0.970,0.487,0.076,42.93,38.46,32.64,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
261,side_right,0.609,0.908,0.615,55.3,True,-0.4702,-5.8367,5.31,fail_force_overload,0,74.38,72.36,0.1518,0.995,0.350,0.336,40.35,38.29,32.70,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
263,side_right,0.521,1.021,0.666,60.9,True,-0.6030,+5.9349,14.20,fail_force_overload,0,61.52,63.16,0.1207,0.743,0.236,0.236,45.56,42.62,31.82,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
264,side_right,0.466,1.019,0.735,52.6,True,-0.0081,-2.7857,2.91,success,1,65.25,72.53,0.1675,1.054,0.261,0.092,48.32,43.90,32.73,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
267,side_right,0.491,1.141,0.666,54.9,True,-0.3264,+3.1443,10.65,fail_force_overload,0,66.69,66.41,0.1109,0.803,0.313,0.313,40.07,38.02,32.00,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
280,top,-0.610,-0.418,0.620,25.8,False,-7.6090,+0.0367,4.74,fail_force_overload,0,60.84,70.72,0.1478,0.879,0.453,0.204,43.29,40.29,32.73,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
306,top,-0.497,1.364,0.548,30.8,False,-3.2558,-3.9249,18.47,fail_quality_regression,2,63.22,63.11,0.2310,1.602,0.950,0.085,42.68,35.60,32.78,False,False,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
307,top,-0.403,-1.378,0.439,30.7,False,+3.3227,-0.0268,8.88,fail_force_overload,0,64.30,70.77,0.1782,0.963,0.462,0.300,45.10,41.21,33.03,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
326,top,-0.426,1.377,0.576,29.4,False,+3.2781,-4.0041,16.14,fail_force_overload,0,63.12,68.93,0.1746,0.993,0.373,0.365,42.02,39.19,33.01,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
327,top,-0.300,-1.375,0.512,28.7,False,-0.3609,-2.9196,15.53,success,1,65.87,72.94,0.1766,1.038,0.293,0.061,49.33,46.69,32.69,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
343,top,-0.304,1.379,0.683,12.6,False,-2.9045,-4.5922,9.64,fail_force_overload,0,59.07,66.16,0.1490,0.967,0.181,0.078,45.48,42.52,32.63,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
344,top,-0.292,1.463,0.524,25.6,False,-0.4682,+9.8521,11.25,fail_force_overload,0,61.11,61.11,0.1240,1.152,0.625,0.625,44.73,41.46,23.41,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
345,top,-0.173,-1.461,0.421,36.4,False,-1.5352,+8.8977,49.66,fail_force_overload,0,71.54,74.40,0.1239,0.964,0.319,0.148,41.36,40.41,32.65,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
82,side_left,-0.378,-1.373,0.392,85.1,True,-1.1476,-7.1625,49.22,fail_force_overload,0,65.40,72.98,0.1268,0.847,0.212,0.095,43.69,42.36,32.63,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
86,side_left,-0.534,-1.227,0.523,56.6,True,+0.2030,-4.9828,3.37,fail_force_overload,0,72.19,70.94,0.1072,0.820,0.235,0.127,40.06,37.52,32.60,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
